County,n,long,lat,group,order,region
leon,4,-84.71754455566406,30.303739547729492,326,13477,florida
leon,4,-84.71180725097656,30.3266544342041,326,13478,florida
leon,4,-84.69461822509766,30.355304718017578,326,13479,florida
leon,4,-84.67170715332031,30.37249183654785,326,13480,florida
leon,4,-84.66024017333984,30.395410537719727,326,13481,florida
leon,4,-84.6373291015625,30.401142120361328,326,13482,florida
leon,4,-84.60295104980469,30.412599563598633,326,13483,florida
leon,4,-84.545654296875,30.441247940063477,326,13484,florida
leon,4,-84.44824981689453,30.458436965942383,326,13485,florida
leon,4,-84.40814208984375,30.487085342407227,326,13486,florida
leon,4,-84.39095306396484,30.53291893005371,326,13487,florida
leon,4,-84.37376403808594,30.567298889160156,326,13488,florida
leon,4,-84.3623046875,30.59021759033203,326,13489,florida
leon,4,-84.32219696044922,30.613136291503906,326,13490,florida
leon,4,-84.30500793457031,30.641782760620117,326,13491,florida
leon,4,-84.31074523925781,30.687620162963867,326,13492,florida
leon,4,-84.08728790283203,30.676158905029297,326,13493,florida
manatee,13,-82.213714599609375,27.198307037353516,330,13644,florida
manatee,13,-82.27101135253906,27.209766387939453,330,13645,florida
manatee,13,-82.27674102783203,27.38165283203125,330,13646,florida
manatee,13,-82.43143463134766,27.38165283203125,330,13647,florida
manatee,13,-82.437164306640625,27.38738250732422,330,13648,florida
manatee,13,-82.56321716308594,27.38738250732422,330,13649,florida
manatee,13,-82.5689468383789,27.410301208496094,330,13650,florida
manatee,13,-82.60332489013672,27.43321990966797,330,13651,florida
manatee,13,-82.6262435913086,27.450407028198242,330,13652,florida
manatee,13,-82.67207336425781,27.46186637878418,330,13653,florida
manatee,13,-82.67781066894531,27.473325729370117,330,13654,florida
manatee,13,-82.666351318359375,27.5134334564209,330,13655,florida
manatee,13,-82.6606216430664,27.530622482299805,330,13656,florida
manatee,13,-82.65489196777344,27.530622482299805,330,13657,florida
manatee,13,-82.63197326660156,27.530622482299805,330,13658,florida
manatee,13,-82.58613586425781,27.524892807006836,330,13659,florida
manatee,13,-82.58040618896484,27.536352157592773,330,13660,florida
manatee,13,-82.58613586425781,27.576457977294922,330,13661,florida
manatee,13,-82.59186553955078,27.582189559936523,330,13662,florida
manatee,13,-82.59759521484375,27.593647003173828,330,13663,florida
manatee,13,-82.59186553955078,27.605106353759766,330,13664,florida
manatee,13,-82.5689468383789,27.622295379638672,330,13665,florida
manatee,13,-82.56321716308594,27.645212173461914,330,13666,florida
manatee,13,-82.05901336669922,27.645212173461914,330,13667,florida
manatee,13,-82.05901336669922,27.335817337036133,330,13668,florida
manatee,13,-82.05901336669922,27.2498722076416,330,13669,florida
manatee,13,-82.15641784667969,27.244142532348633,330,13670,florida
manatee,13,-82.15641784667969,27.20403480529785,330,13671,florida
manatee,13,-82.213714599609375,27.198307037353516,330,13672,florida
marion,3,-81.6636734008789,29.329710006713867,331,13674,florida
marion,3,-81.67513275146484,29.3239803314209,331,13675,florida
marion,3,-81.67513275146484,29.306791305541992,331,13676,florida
marion,3,-81.646484375,29.283872604370117,331,13677,florida
marion,3,-81.6350326538086,29.255224227905273,331,13678,florida
marion,3,-81.64076232910156,29.043231964111328,331,13679,florida
marion,3,-81.65221405029297,29.043231964111328,331,13680,florida
marion,3,-81.65794372558594,28.951557159423828,331,13681,florida
marion,3,-81.6636734008789,28.945829391479492,331,13682,florida
marion,3,-81.94441986083984,28.951557159423828,331,13683,florida
